;Properties;ITEM;ITEM TYPOLOGY;;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Sky Splitter;Axe;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Skycutter;Sword;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Skywarden;Mace 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Slave Bonds;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Sledge of Athskeleng;Mace 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Soulsmasher (Horadric Cache);Mace 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Spaulders of Zakara;Shoulders;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Spires of the Earth;Shoulders;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Squirt's Necklace;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;St. Archew's Gage;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Stalgard's Decimator;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Standoff;Polearm;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Steady Strikers;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Stolen Ring;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Stone Gauntlets;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Stone of Jordan;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Stormshield;Shield;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;String of Ears;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Strongarm Bracers;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Sun Keeper;Mace;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Sunwuko's Balance;Shoulders;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Sunwuko's Crown;Helm;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Sunwuko's Paws;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Sunwuko's Shines;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Swamp Land Waders;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Tal Rasha's Allegiance;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Tal Rasha's Brace;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Tal Rasha's Guise of Wisdom;Helm;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Inna's Vast Expanse;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Talisman of Aranoch;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Tasker and Theo;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Telranden's Hand;Mace;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Ancient Bonesaber of Zumakalis;Sword;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Barber;Dagger;W;;
MAIN STATS;Dexterity/Intelligence +946-1125;The Broken Staff;Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Compass Rose;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Crudest Boots;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Ess of Johan;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;The Executioner;Axe 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;The Furnace;Mace 2H;W;;
MAIN STATS;Dexterity/Intelligence +946-1125;The Grand Vizier;Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;The Grandfather;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Jade Harvester's Peace;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Shadow's Coil;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Shadow's Grasp;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Shadow's Heels;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Slanderer;Sword;W;;
MAIN STATS;Dexterity/Intelligence +946-1125;The Smoldering Core;Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Star of Azkaranth;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;The Sultan of Blinding Sand;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Tall Man's Finger;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Three Hundredth Spear;Spear;W;;
MAIN STATS;Dexterity/Intelligence +946-1125;The Tormentor;Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;The Traveler's Pledge;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Wailing Host;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;The Zweihander;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Thunderfury, Blessed Blade of the Windseeker;Sword;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Thundergod's Vigor;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Trag'Oul Coils;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Shi Mizu's Haori;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Unity;Ring;A;;
MAIN STATS;Dexterity/Intelligence +946-1125;Valthek's Rebuke;Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Vigilance;Polearm;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Vigilante Belt;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Vile Ward;Shoulders;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Vo'Toyias Spiker;Shield;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Tal Rasha's Relentless Pursuit;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Vyr's Fantastic Finery;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Vyr's Grasping Gauntlets;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Vyr's Swaggering Stance;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Warmonger;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Warzechian Armguards;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Weight of the Earth;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Wildwood;Sword;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Wizardspike;Dagger;W;;
MAIN STATS;Dexterity/Intelligence +946-1125;Wormwood (Season 2);Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Wyrdward;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Xephirian Amulet;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Shadow's Bane;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Zunimassa's Pox;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Zunimassa's Trail;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Tyrael's Might;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Vyr's Astonishing Aura;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Zunimassa's Marrow;Chest Armor;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Drakon's Lesson;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Ranslor's Folly (Season 3);Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Spirit Guards (Season 3);Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Belt of the Trove (Season 2);Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Halo of Arlyse (Season 2);Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Inna's Hold;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Natalya's Touch;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Tal Rasha's Grasp;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Zunimassa's Finger Wraps;Gloves;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Belt of Transcendence;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Blessed of Haull;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Crashing Rain;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Haunting Girdle;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Omnislash;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Omryn's Chain;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Immortal King's Stature;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Natalya's Leggings;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Tal Rasha's Stride;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Zunimassa's Cloth;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Nilfur's Boast;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Inna's Sandals;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Arcstone;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;The Short Man's Finger;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Convention of Elements;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Eun-Jang-Do;Dagger;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;In-geom;Sword;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Blood Brother;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Corrupted Ashbringer;Sword 2H;W;;
MALUS FIRE;5–10% more Fire damage taken;Andariel's Visage;Helm;A;;
MANA MAX;+120-150 Maximum Mana;Homunculus (Witch Doctor);Mojo;A;;
MANA MAX;+120-150 Maximum Mana;Spite (Witch Doctor);Mojo;A;;
MANA MAX;+120-150 Maximum Mana;Split Tusk (Witch Doctor);Voodoo Mask;A;;
MANA MAX;+120-150 Maximum Mana;Thing of the Deep (Witch Doctor);Mojo;A;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;Deadly Rebirth (Witch Doctor);Ceremonial Knife;W;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;Gazing Demise (Witch Doctor);Mojo;A;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;Manajuma's Gory Fetch (Witch Doctor);Mojo;A;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;Shukrani's Triumph (Witch Doctor);Mojo;A;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;The Gidbinn (Witch Doctor);Ceremonial Knife;W;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;The Spider Queen's Grasp (Witch Doctor);Ceremonial Knife;W;;
MANA REG;Increases Mana Regeneration by 12-14 per Second;Thing of the Deep (Witch Doctor);Mojo;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Ageless Might (Barbarian);Mighty Belt;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Burden of the Invoker;Shoulders;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Crown of the Invoker;Helm;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Faithful Memory;Sword 2H;W;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Lacuni Prowlers;Bracers;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Nailbiter;Mace;W;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Neanderthal;Mace;W;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Pride of the Invoker;Gloves;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Sanguinary Vambraces (Horadric Cache);Bracers;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Shackles of the Invoker;Bracers;A;;
MELEE / RANGED;Ranged and melee attackers take 1525-2000 damage per hit;Vo'Toyias Spiker;Shield;A;;
MITIGATION;BONUS Grants a 15–20% chance to block attacks. Blocked attacks inflict 30% less damage. After blocking an attack, your next attack inflicts 30% additional damage;Blood Brother;Sword 2H;W;;
MITIGATION;Reduces damage from melee attacks by 6-7%;Ageless Might (Barbarian);Mighty Belt;A;;
MITIGATION;+11% Chance to Block;Akarat's Awakening (Crusader);Crusader Shield;A;;
MITIGATION;BONUS Each stunned enemy within 25 yards reduces your damage taken by 9–12%;Ancient Parthan Defenders;Bracers;A;;
MITIGATION;Reduces duration of control impairing effects by 20-40%;Blackguard;Sword 2H;W;;
MITIGATION;BONUS You take 45–60% less damage from blocked attacks;Coven's Criterion (Horadric Cache);Shield;A;;
MITIGATION;+11% Chance to Block;Coven's Criterion (Horadric Cache);Shield;A;;
MITIGATION;+11% Chance to Block;Defender of Westmarch;Shield;A;;
MITIGATION;Reduces duration of control impairing effects by 20-40%;Erlang Shen (Monk);Spirit Stone;A;;
MITIGATION;Reduces damage from ranged attacks by 30–35%;Eye of Etlich;Amulet;A;;
MITIGATION;BONUS Your Town Portal is no longer interrupted by taking damage. While casting Town Portal you gain a protective bubble that reduces damage taken by 50–65%;Homing Pads;Shoulders;A;;
MITIGATION;Reduces damage from Cold attacks by 7-10%;Ice Climbers;Boots;A;;
MITIGATION;+16% Chance to Block;Justice Lantern;Ring;A;;
MITIGATION;Reduces duration of control impairing effects by 35–50%;Justice Lantern;Ring;A;;
MITIGATION;Reduces duration of control impairing effects by 20-40%;Saffron Wrap;Belt;A;;
MITIGATION;BONUS Blocked attacks heal you and your allies for 20–30% of the amount blocked;Salvation (Crusader) (Horadric Cache);Crusader Shield;A;;
MITIGATION;+11% Chance to Block;Salvation (Crusader) (Horadric Cache);Crusader Shield;A;;
MITIGATION;BONUS The first time an elite pack damages you, gain an absorb shield equal to 120–150% of your maximum Life for 10 seconds;St. Archew's Gage;Gloves;A;;
MITIGATION;Reduces damage from melee attacks by 25-30%;Stormshield;Shield;A;;
MITIGATION;Reduces damage from melee attacks by 25-30%;String of Ears;Belt;A;;
MITIGATION;+11% Chance to Block;Sublime Conviction (Crusader);Crusader Shield;A;;
MITIGATION;Reduces duration of control impairing effects by 20-40%;Swamp Land Waders;Pants;A;;
MITIGATION;+11% Chance to Block;The Helm of Rule;Helm;A;;
MITIGATION;BONUS 25–30% of the damage you take is redirected to your Zombie Dogs;Uhkapian Serpent (Witch Doctor);Mojo;A;;
MITIGATION;BONUS All damage taken is split between wearers of this item;Unity;Ring;A;;
MITIGATION;BONUS 20–30% chance to be protected by a shield of bones when you are hit;Wall of Man;Shield;A;;
MONK CDR;BONUS Reduce the cooldown of Breath of Heaven by 38–50%;Eye of Peshkow (Monk);Spirit Stone;A;;
MONK SKILL;BONUS Exploding Palm's on-death explosion applies Exploding Palm;Gungdo Gear (Season 2);Bracers;A;;
MONK SKILL;BONUS When Dashing Strike hits an enemy more than 30–35 yards away, its Charge cost is refunded;Jawbreaker (Monk);Fist Weapon;W;;
MONK SKILL;BONUS Mystic Ally summons two Mystic Allies that fight by your side;The Crudest Boots;Boots;A;;
MONK SKILL;BONUS Using Blinding Flash restores 125–165 Spirit;The Laws of Seph (Monk);Spirit Stone;A;;
MONK SKILL;BONUS Wave of Light is now cast at your enemy;Tzo Krin's Gaze (Monk);Spirit Stone;A;;
MONK SKILL;BONUS Increases the maximum stack count of Sweeping Wind by 3;Vengeful Wind (Monk) (Season 1);Fist Weapon;W;;
MONK SKILL;BONUS Tempest Rush gains the effect of the Tailwind rune;Warstaff of General Quang (Monk);Daibo;W;;
MONK SKILL;BONUS Your Spirit Generators reduce your damage taken by 30–40% for 3 seconds;Spirit Guards (Season 3);Bracers;A;;
MONK SKILL;BONUS Haunt releases 1 extra spirit;Haunting Girdle;Belt;A;;
MONK SKILL;BONUS Getting hit has a chance to automatically cast Inner Sanctuary;Vigilance;Polearm;W;;
MONK SKILL;Increases Mystic Ally Damage by 20–25%;Inna's Reach (Monk);Daibo;W;;
MONK SKILL CDR;BONUS Reduces the cooldown of Seven-Sided Strike by 45–60%;The Flow of Eternity (Monk);Daibo;W;;
MONK SKILL DMG;BONUS Lashing Tail Kick releases a piercing fireball that deals 525–700% weapon damage as Fire to enemies within 10 yards on impact;Gyana Na Kashu (Monk);Spirit Stone;A;;
MONK SKILL DMG;Increases Deadly Reach Damage by 40–50%;Staff of Kyro (Monk);Daibo;W;;
MONK SKILL DMG;BONUS Exploding Palm's on-death explosion damage is increased by 75–100%;The Fist of Az'Turrasq (Monk);Fist Weapon;W;;
MONK SKILL RCR;BONUS Reduces the Spirit cost of Wave of Light by 40–50%;Incense Torch of the Grand Temple (Monk);Daibo;W;;
MONK SKILLS;"- Increases Tempest Rush Damage by 10–15%
- Increases Exploding Palm Damage by 10–15%
- Increases Wave of Light Damage by 10–15%
- Increases Lashing Tail Kick Damage by 10–15%";Bezoar Stone (Monk);Spirit Stone;A;;
MONK SKILLS;BONUS Your Seven-Sided Strike applies Exploding Palm;Madstone (Monk);Spirit Stone;A;;
MONK SKILLS DMG;Increases Wave of Light Damage by 25–30%;Incense Torch of the Grand Temple (Monk);Daibo;W;;
MONK SKILLS DMG;Increases Wave of Light Damage by 20–25%;Tzo Krin's Gaze (Monk);Spirit Stone;A;;
MOV DMG;BONUS Your resource generation and damage is increased by 25% while moving and decreased by 20–25% while standing still;Hexing Pants of Mr. Yan;Pants;A;;
MOV SPEED;+10-12%  Movement Speed;Band of Untold Secrets;Ring;A;;
MOV SPEED;+10-12%  Movement Speed;Board Walkers;Boots;A;;
MOV SPEED;BONUS Using War Cry increases the movement speed for you and all allies affected by 30–40% for 10 seconds;Chilanik's Chain (Barbarian);Mighty Belt;A;;
MOV SPEED;+10-12%  Movement Speed;Fire Walkers;Boots;A;;
MOV SPEED;+10-12%  Movement Speed;Gift of Silaria;Sword;W;;
MOV SPEED;+10-12%  Movement Speed;Guardian's Gaze;Helm;A;;
MOV SPEED;+10-12%  Movement Speed;Hammer Jammers;Pants;A;;
MOV SPEED;+10-12%  Movement Speed;Illusory Boots (Horadric Cache);Boots;A;;
MOV SPEED;BONUS Gain up to 25-30% increased movement speed based on amount of Life missing;Irontoe Mudsputters;Boots;A;;
MOV SPEED;BONUS Casting Justice increases your movement speed by 15–20% for 2 seconds;Kassar's Retribution (Crusader);Flail;W;;
MOV SPEED;BONUS Gain 25% run speed. This effect is lost for 5 seconds after taking damage;Krelm's Buff Belt (Season 1);Belt;A;;
MOV SPEED;+10-12%  Movement Speed;Lacuni Prowlers;Bracers;A;;
MOV SPEED;BONUS Gain 45–60% increased movement speed for 4 seconds after Fearing an enemy;Rechel's Ring of Larceny;Ring;A;;
MOV SPEED;+10-12%  Movement Speed;Slave Bonds;Bracers;A;;
MOV SPEED;+12%  Movement Speed;Sledge of Athskeleng;Mace 2H;W;;
MOV SPEED;+10-12%  Movement Speed;The Compass Rose;Ring;A;;
MOV SPEED;+10-12%  Movement Speed;The Crudest Boots;Boots;A;;
MOV SPEED;+10-12%  Movement Speed;The Flavor of Time;Amulet;A;;
MOV SPEED;BONUS Every time you destroy a wreckable object, you gain a short burst of speed;Warzechian Armguards;Bracers;A;;
NEPHALEM ORBS;BONUS 4–6% chance to spawn a Nephalem Glory globe when you Blind an enemy;Promise of Glory;Bracers;A;;
PETS;BONUS Hammer of the Ancients has a 25–30% chance to summon an Ancient for 20 seconds;Remorseless (Barbarian) (Season 1);Mighty Weapon;W;;
PETS;BONUS Increase attack speed of your pets by 40–50%;Tasker and Theo;Gloves;A;;
PETS;BONUS Chance to summon a Fetish when attacking;The Gidbinn (Witch Doctor);Ceremonial Knife;W;;
PHYSICAL DMG;BONUS Gain an aura of death that deals 750–1000% of your Life per Second as Physical damage to enemies within 16 yards. You no longer regenerate Life;Death's Bargain (Horadric Cache);Pants;A;;
PHYSICAL DMG;BONUS 25% chance on attack to throw a dagger at a nearby enemy for 500–650% weapon damage as Physical (Increased proc chance from 25% to 100%);Sash of Knives;Belt;A;;
PHYSICAL DMG;BONUS Your melee attacks throw a piercing axe at a nearby enemy, dealing 550–700% weapon damage as Physical;Stalgard's Decimator;Sword 2H;W;;
PHYSICAL ELEM;Physical skills deal 15-20% more damage;Doombringer;Sword;W;;
PHYSICAL ELEM;Physical skills deal 25-30% more damage;Heart Slaughter;Polearm;W;;
PICKUP RADIUS;BONUS Each time you pick up gold, increase your Gold and Health Pickup radius by 1 yard for 10 seconds, stacking up to 30 times;Avarice Band (Horadric Cache);Ring;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 1-2 Yards;Cord of the Sherma;Belt;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 1-2 Yards;Insatiable Belt (Horadric Cache);Belt;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 4-6 Yards;Profane Pauldrons;Shoulders;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 1-2 Yards;Razor Strop;Belt;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 4-6 Yards;Rondal's Locket;Amulet;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 1-2 Yards;Sebor's Nightmare;Belt;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 1-2 Yards;Stolen Ring;Ring;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 20 Yards;Thing of the Deep (Witch Doctor);Mojo;A;;
PICKUP RADIUS;Increases Gold and Health Pickup by 1-2 Yards;Warzechian Armguards;Bracers;A;;
PIERCE;BONUS Your projectiles pierce 1–2 additional times;Buriza-Do Kyanon;Crossbow;W;;
PIERCE;BONUS Hungering Arrow has 20-25% additional chance to pierce;The Ninth Cirri Satchel (Demon Hunter);Quiver;A;;
POISON DMG;BONUS After killing 10 enemies, you release a Poison Nova that deals 1050–1400% weapon damage as Poison to enemies within 30 yards;Mad Monarch's Scepter (Horadric Cache);Mace;W;;
POISON DMG;BONUS When 3 or more enemies are within 12 yards, you release a vile stench that deals 450–550% weapon damage as Poison every second for 5 seconds to enemies within 15 yards;Pox Faulds;Pants;A;;
POISON ELEM;Poison skills deal 15-20% more damage;Swamp Land Waders;Pants;A;;
POISON RES;+150-200 Poison Resistance;Andariel's Visage;Helm;A;;
POISON X-Y;(858-1049)-(1028-1304) Poison Damage;Envious Blade (Horadric Cache);Dagger;W;;
POISON X-Y;(858-1049)-(1028-1304) Poison Damage;Kill;Dagger;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Logan's Claw (Monk);Fist Weapon;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Manajuma's Carving Knife (Witch Doctor);Ceremonial Knife;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Manticore;Crossbow;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Pus Spitter;Crossbow;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Rabid Strike (Monk);Fist Weapon;W;;
POISON X-Y;(1177-1439)-(1410-1788) Poison Damage;Scourge;Sword 2H;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Sydyru Crust;Bow;W;;
POISON X-Y;(981-1199)-(1175-1490) Poison Damage;Wildwood;Sword;W;;
POISON X-Y;(1177-1439)-(1410-1788) Poison Damage;Wormwood (Season 2);Staff;W;;
POISON X-Y;(1177-1439)-(1410-1788) Poison Damage;Corrupted Ashbringer;Sword 2H;W;;
RCR;BONUS Reduces the Wrath cost of Shield Bash by 40–50%;Piro Marella (Crusader);Crusader Shield;A;;
RCR;BONUS Your resource costs are reduced by 30% after not taking damage for 5 seconds;Pride's Fall (Horadric Cache);Helm;A;;
RESOURCE MAX;"+7–8 Maximum Discipline (Demon Hunter Only)
+10–12 Maximum Fury (Barbarian Only)
+4–6 Maximum Arcane Power (Wizard Only)
+90–104 Maximum Mana (Witch Doctor Only)
+10–12 Maximum Spirit (Monk Only)
+6–7 Maximum Wrath (Crusader Only)";Lidless Wall;Shield;A;;
RESOURCE MAX;"+1–2 Maximum Discipline (Demon Hunter only)
+1–3 Maximum Fury (Barbarian only)
+1–3 Maximum Arcane Power (Wizard Only)
+30–39 Maximum Mana (Witch Doctor Only)
Increases Spirit Regeneration by 1,00–1,33 per Second (Monk Only)
Increases Wrath Regeneration by 1–2 per Second (Crusader Only)";Manald Heal;Ring;A;;
RESOURCE RESTORE;BONUS Killing enemies and destroying objects has a chance to grant 20% of your maximum primary resource;Burst of Wrath (Horadric Cache);Axe 2H;W;;
RESOURCE RESTORE;BONUS Taking Fire damage restores your primary resource;Krede's Flame;Ring;A;;
RESOURCE RESTORE;BONUS Health globes restore 25–30% of your primary resource;Reaper's Wraps;Bracers;A;;
SHRINE;BONUS Chance on killing a demon to gain a random Shrine effect;Ahavarion, Spear of Lycander;Staff;W;;
SHRINE;BONUS Shrine effects last for 10 minutes;Gloves of Worship (Horadric Cache);Gloves;A;;
SKILLS CDR;Reduces cooldown of all skills by 6–10%;Blade of Prophecy;Sword 2H;W;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Dovu Energy Trap;Amulet;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Halcyon's Amulet;Amulet;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Helltooth Gauntlets (Witch Doctor);Gloves;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Helltooth Mantle (Witch Doctor);Shoulders;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Obsidian Ring of the Zodiac;Ring;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Overwhelming Desire (Horadric Cache);Amulet;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;The Ess of Johan;Amulet;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;The Flavor of Time;Amulet;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;The Star of Azkaranth;Amulet;A;;
SKILLS CDR;Reduces cooldown of all skills by 5–8%;Vigilante Belt;Belt;A;;
SKILLS CR;Reduces all resource costs by 5-8%;Broken Promises;Ring;A;;
SKILLS CR;Reduces all resource costs by 5-8%;Firebird's Pinions (Wizard);Shoulders;A;;
SKILLS CR;Reduces all resource costs by 5-8%;Fletcher's Pride (Demon Hunter);Quiver;A;;
SKILLS CR;Reduces all resource costs by 5-8%;Marauder's Spines (Demon Hunter);Shoulders;A;;
SKILLS CR;Reduces all resource costs by 5-8%;Obsidian Ring of the Zodiac;Ring;A;;
SKILLS CR;Reduces all resource costs by 5-8%;Saffron Wrap;Belt;A;;
